MKZ;Messstellenname;Messstellenart;Ostwert;Nordwert;Messpunkthöhe;Filteroberkante;Filteroberkante (m unter Gelände);Filterunterkante;Filterunterkante (m unter Gelände);Ausbausohle;Geländehöhe;Höhensystem;Beobachtungsbeginn;Beobachtungsende;Analysenbeginn;Analyseende;Grundwasserleiterkomplex;Datenlogger;Grundwasserkörper;Kreis;Datenart;WRRL;WRRL;GEOMETRY;X_EPSG25833;Y_EPSG25833
44410009;Schnaditz, B 1/2016;Grundwasserbeobachtungsrohr;330340.09;5718417.39;87.93;78.83;8;76.83;10;75.83;86.83;DHHN92;;;2016;;Weichselkaltzeit (Terrassen);;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (330340.578149194 5718417.0907147);330340.5781;5718417.091
44410050;Glaucha, Oberglaucha Dep. P1/97;Grundwasserbeobachtungsrohr;332159.32;5713623.07;93.39;89.19;3.08;84.19;8.08;84.19;92.27;DHHN2016;2003;;2002;2005;;J;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (332159.319916478 5713623.07033587);332159.3199;5713623.07
44410322_1;Niederglaucha, B 322/83;Messstellenbündel;331161.2658;5714591.49;90.81;76.41;13;72.41;17;66.41;89.41;HN;1988;;;;;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (331161.751203962 5714591.19336226);331161.7512;5714591.193
44410322_2;Niederglaucha, B 322/83;Messstellenbündel;331161.2658;5714591.49;90.71;29.41;60;25.41;64;21.41;89.41;HN;1988;;;;;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (331161.751203962 5714591.19336226);331161.7512;5714591.193
44410382_1;Glaucha, B 382/83;Messstellenbündel;330256.4055;5712144.419;106.79;68.72;37;64.72;41;60.72;105.72;HN;1988;;;;;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (330256.891934443 5712144.10790925);330256.8919;5712144.108
44411766_1;Zschepplin, B 17E/66;Messstellenbündel;333740.69;5709123.46;110.92;97.63;12.02;96.63;13.02;95.7;109.65;DHHN2016;1988;;;;;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (333740.689922305 5709123.46033456);333740.6899;5709123.46
44411766_2;Zschepplin, B 17E/66;Messstellenbündel;333740.69;5709123.46;110.59;52.6;57.05;51.3;58.35;50.8;109.65;DHHN2016;1988;;;;;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (333740.689922305 5709123.46033456);333740.6899;5709123.46
44416468_1;Tiefensee, B 64/68;Messstellenbündel;328682.6962;5715921.123;91.61;78.71;11.89;76.4;14.2;76.4;90.6;NN;1988;;;;;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (328683.162357691 5715920.80290751);328683.1624;5715920.803
44416468_2;Tiefensee, B 64/68;Messstellenbündel;328682.6962;5715921.123;91.51;38.5;52.1;36.5;54.1;35.5;90.6;NN;1988;;;;;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (328683.162357691 5715920.80290751);328683.1624;5715920.803
44416485;Wellaune;Schachtbrunnen;330581.5826;5716319.02;92.58;;;;;85.77;92.47;HN;1929;;;;;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (330582.068908095 5716318.71044877);330582.0689;5716318.71
44416493;Tiefensee;Schachtbrunnen;328978.9142;5717602.877;89.76;;;;;84.12;89.25;NN;1929;;;;;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (328979.394848828 5717602.56890952);328979.3948;5717602.569
44416517;Hohenprießnitz;Schachtbrunnen;333111.6616;5712407.032;92.48;;;;;88.6;92.28;HN;1930;;;;Auebildungen;;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (333112.157102745 5712406.72655131);333112.1571;5712406.727
44416534;Mörtitz;Grundwasserbeobachtungsrohr;335785.3725;5708336.659;95.69;;;;;81.32;94.87;DHHN92;1930;;;;;J;DESN_VM-1-2-2;Landkreis Nordsachsen;WS;N;nein;POINT (335785.871414624 5708336.36067889);335785.8714;5708336.361
44416552;Zschepplin;Grundwasserbeobachtungsrohr;333539.4236;5708570.601;110.72;;;;;101.32;110.1;DHHN92;1933;;;;;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (333539.928053183 5708570.28211144);333539.9281;5708570.282
4.44E+267;Wellaune;Grundwasserbeobachtungsrohr;329230.272;5713220.988;103.5;90.45;12;87.45;15;86.45;102.45;DHHN92;2018;;2017;;Elster 2-Kaltzeit;;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (329230.271905793 5713220.98833574);329230.2719;5713220.988
4441E6552;Zschepplin;Grundwasserbeobachtungsrohr;333563.05;5708045.62;110.92;99.25;10.8;98.25;11.8;97.25;110.05;DHHN2016;;;2023;;;N;DESN_VM-1-1;Landkreis Nordsachsen;WS;J;ja;POINT (333563.049921841 5708045.62033424);333563.0499;5708045.62
44420005;Wildenhain, Hy WdhiEi 63/1969;Grundwasserbeobachtungsrohr;345896.1233;5712769.669;100.6;86.4;13;84.4;15;84.4;99.4;NN;;;1970;;Elster 1-Kaltzeit;;DESN_VM-1-3;Landkreis Nordsachsen;WS;J;ja;POINT (345896.654616686 5712769.40227011);345896.6546;5712769.402
44420007;Pressel, HyPre 12/1993;Grundwasserbeobachtungsrohr;346424.24;5712024.39;102.03;96.01;5.1;94.01;7.1;93;101.11;DHHN2016;;;2008;;lokaler Sonderfall;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (346424.239955204 5712024.39033557);346424.24;5712024.39
44420008;Wöllnau;Grundwasserbeobachtungsrohr;341089.81;5713129.33;97.35;89.23;7.1;87.23;9.1;86.23;96.33;DHHN2016;;;2023;;;N;DESN_VM-1-3;Landkreis Nordsachsen;WS;J;ja;POINT (341089.809943045 5713129.33033582);341089.8099;5713129.33
44424567_1;Wöllnau, B 45E/67;Messstellenbündel;340186.76;5708685.35;102.12;86.9;14.28;84.9;16.28;83.9;101.18;DHHN2016;1991;;;;;;DESN_VM-1-3;Landkreis Nordsachsen;WS;N;nein;POINT (340186.759941105 5708685.3503345);340186.7599;5708685.35
44424567_3;Wöllnau, B 45E/67;Messstellenbündel;340186.76;5708685.35;101.71;49.5;51.68;47.5;53.68;46.5;101.18;DHHN2016;1991;;;;;;DESN_VM-1-3;Landkreis Nordsachsen;WS;N;nein;POINT (340186.759941105 5708685.3503345);340186.7599;5708685.35
44424767_1;Pressel, B 47/67;Messstellenbündel;338821.22;5715861.25;99.58;84.62;13.7;82.62;15.7;80.62;98.32;DHHN2016;1991;;;;;J;DESN_VM-1-3;Landkreis Nordsachsen;WS;J;ja;POINT (338821.219936879 5715861.2503366);338821.2199;5715861.25
44424767_3;Pressel, B 47/67;Messstellenbündel;338821.22;5715861.25;99.37;38.62;59.7;36.62;61.7;34.62;98.32;DHHN2016;1991;;;;;;DESN_VM-1-3;Landkreis Nordsachsen;WS;N;nein;POINT (338821.219936879 5715861.2503366);338821.2199;5715861.25
44425367_1;Pressel, B 53/67;Messstellenbündel;342611.17;5718280.89;111.68;98.6;11.93;96.6;13.93;96.6;110.53;DHHN2016;1991;;;;;;DESN_VM-1-3;Landkreis Nordsachsen;WS;J;ja;POINT (342611.169946371 5718280.89033736);342611.1699;5718280.89
44425470;Wildenhain, B 2/62;Grundwasserbeobachtungsrohr;344900.1408;5711926.239;101.01;;;;;90.9;99.99;HN;1966;;;;Elster 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (344900.668535625 5711925.95798922);344900.6685;5711925.958
44426567;Pressel;Schachtbrunnen;341046.6679;5716510.895;118.63;;;;;114.63;118.29;DHHN92;1929;;;;Saale 1-Kaltzeit;;DESN_VM-1-3;Landkreis Nordsachsen;WS;N;nein;POINT (341047.192555333 5716510.61801972);341047.1926;5716510.618
44430012_a;Zinna, Mockritz-Elsnig, HySpiz5/97OPoF;Grundwasserbeobachtungsrohr;358226.5482;5713880.19;88.63;78.58;9.2;77.58;10.2;71.78;87.78;HN;;;1999;;Saale 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (358227.121392484 5713879.95451937);358227.1214;5713879.955
44430027;Audenhain,  B 2/95;Grundwasserbeobachtungsrohr;349851.0081;5708116.783;98.23;93.23;4;91.53;5.7;91.23;97.23;HN;;;2011;;Elster 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (349851.566135592 5708116.54498008);349851.5661;5708116.545
44430034_1;Elsnig, Neiden, HyMkzTo20/74OP;Messstellenbündel;356725.0109;5717920.247;92.97;89.65;2.2;87.65;4.2;85.65;91.85;HN;2006;;2003;2003;;J;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (356725.582147733 5717920.01457782);356725.5821;5717920.015
44430036;Pflückuff,  B 101/94 oP;Messstellenbündel;360936.5411;5707929.757;96.84;80.85;15.05;78.85;17.05;77.85;95.9;HN;;;2007;;Elster 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (360937.102495807 5707929.53021277);360937.1025;5707929.53
44430041;Dreiheide, Süptitz, HyNei1/95OP;Grundwasserbeobachtungsrohr;355063.3284;5716944.046;115.03;103.65;9.9;101.65;11.9;101.55;113.55;HN;;;2008;;Saale 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (355063.884546107 5716943.80707963);355063.8845;5716943.807
44430042;Dreiheide, Süptitz, HyNei1/95MP;Grundwasserbeobachtungsrohr;355061.1005;5716951.202;114.61;97.5;15.9;93.7;19.7;93.7;113.4;HN;;;2008;;Saale 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (355061.65675331 5716950.96315917);355061.6568;5716950.963
44430049;Melpitz;Grundwasserbeobachtungsrohr;356094.96;5709837.88;86.95;81.87;5.3;79.87;7.3;78.87;87.17;DHHN2016;;;2018;;Elster 2-Kaltzeit;N;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (356094.959971651 5709837.88033509);356094.96;5709837.88
44430053;Torgau, Mockritz-Elsnig,HySpiz5/98;Grundwasserbeobachtungsrohr;357364.7276;5712290.399;88.42;85.62;1.86;81.22;6.26;80.48;87.48;HN;2007;;1999;;Elster 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (357365.294778975 5712290.17294005);357365.2948;5712290.173
44430056;Audenhain, GWM 1/2012;Grundwasserbeobachtungsrohr;349848.2142;5708131.367;98.74;89.73;8.1;87.73;10.1;86.73;97.83;DHHN92;2013;;2012;;Elster 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (349848.772057611 5708131.12935751);349848.7721;5708131.129
44430059;Welsau, GWM Br. 1/2020;Grundwasserbeobachtungsrohr;358316.55;5716601.66;88.16;69.3;18;67.3;20;66.3;87.3;DHHN2016;;;2020;;Elster 2-Kaltzeit;N;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (358316.549974335 5716601.66033712);358316.55;5716601.66
44430060;Zinna, GWM Br. 3/2020;Grundwasserbeobachtungsrohr;357785.68;5714929.46;100.62;69.65;30;67.65;32;66.65;99.65;DHHN2016;;;2020;;Elster 2-Kaltzeit;N;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (357785.679973714 5714929.46033662);357785.68;5714929.46
44430201;Torgau, Am Betonwerk, B 504/88;Grundwasserbeobachtungsrohr;360543.74;5714972.79;83.05;70.15;11.93;67.9;14.18;67.2;82.08;DHHN2016;2006;;;;;J;DESN_EL-2-1;Landkreis Nordsachsen;WS;N;nein;POINT (360543.739977077 5714972.79033668);360543.74;5714972.79
44440008;Arzberg, WGT-Objekt Kathewitz, BIII/94;Grundwasserbeobachtungsrohr;368989.48;5710286.04;85.3;82.8;2.01;73;11.81;72.9;84.81;DHHN2016;;;2008;;Auebildungen;;DESN_EL-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (368989.479985277 5710286.04033544);368989.48;5710286.04
44440010;Köllitzsch, LVG, HYPKol 1/07;Grundwasserbeobachtungsrohr;368962.9964;5707531.483;84.78;79.68;5.3;76.68;8.3;76.68;84.98;NN;;;2012;;Auebildungen;;DESN_EL-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (368963.577766117 5707531.27168438);368963.5778;5707531.272
44440102_1;Döbeltitz, B 510/94 OP;Messstellenbündel;367574.2842;5707070.142;85.06;76;8.1;74;10.1;73;84.1;NN;2006;;2018;;Auebildungen;J;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (367574.860115005 5707069.92806806);367574.8601;5707069.928
44440104;Torgau Fischeraue , B 1/97;Bohrbrunnen;361485.381;5712390.2;81.13;75.79;5;69.79;11;68.79;80.79;HN;2006;;;;;J;DESN_EL-2-1;Landkreis Nordsachsen;WS;N;nein;POINT (361485.934508013 5712389.98229054);361485.9345;5712389.982
44440515_1;Torgau-Ost,515/94oP;Messstellenbündel;363463.3;5710040.29;83.77;71.8;11.1;69.8;13.1;68.8;82.9;DHHN2016;;;2004;;Elster 2-Kaltzeit;;DESN_EL-2-1;Landkreis Nordsachsen;WS;N;nein;POINT (363463.299980357 5710040.29033528);363463.3;5710040.29
44445022;Köllitzsch;Grundwasserbeobachtungsrohr;369250.08;5707066.5;83.44;78.63;4.4;76.93;6.1;76.45;83.03;DHHN2016;1997;;2017;;Auebildungen;;DESN_EL-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (369250.079985545 5707066.5003345);369250.08;5707066.5
44445035;Loßwig;Grundwasserbeobachtungsrohr;362804.5561;5710666.042;85.63;;;;;67.56;84.69;HN;1991;;;;;;DESN_EL-2-1;Landkreis Nordsachsen;WS;J;ja;POINT (362805.135280814 5710665.82350323);362805.1353;5710665.824
4.44E+12;Zwethau;Grundwasserbeobachtungsrohr;365137.18;5716938.44;82.85;74.93;7;72.93;9;71.92;81.93;DHHN2016;2023;;2021;;Weichselkaltzeit (Terrassen);N;DESN_EL-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (365137.17998181 5716938.44033734);365137.18;5716938.44
44450001;Blumberg, Kiessandlagerstätte Koßdorf-West, B 5/05;Grundwasserbeobachtungsrohr;375443;5707715.73;87.14;85.14;1.59;81.14;5.59;80.34;86.73;DHHN2016;;;2008;;Elster 2-Kaltzeit;;DESN_EL-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (375442.999989691 5707715.73033478);375443;5707715.73
44450002;Blumberg, Kiessand Arzberg-Blumberg, B 5/93;Grundwasserbeobachtungsrohr;374064.2;5710587.28;87.25;78.75;7.48;76.75;9.48;74.6;86.23;DHHN2016;;;2008;;Weichselkaltzeit (Terrassen);;DESN_EL-2-2;Landkreis Nordsachsen;WS;J;ja;POINT (374064.199988823 5710587.28033561);374064.2;5710587.28
4451B6018;Klein Partwitz, Spreetal Nordschlauch,  B 03;Grundwasserbeobachtungsrohr;442924.8884;5708569.064;109.95;90.7;18.5;88.7;20.5;88.7;109.2;NN;2000;;2002;;Weichselkaltzeit (Terrassen);;DEBB_SE-4-1;Landkreis Bautzen;WS;J;ja;POINT (442925.720777681 5708569.00824052);442925.7208;5708569.008
4451B6053;Klein Partwitz, Spreetal Bluno, SB, B 02 ;Grundwasserbeobachtungsrohr;442683.1747;5707056.571;112.4;94.3;17.1;92.3;19.1;92.3;111.4;NN;2000;;2001;;Weichselkaltzeit (Terrassen);;DEBB_SE-4-1;Landkreis Bautzen;WS;J;ja;POINT (442684.004610581 5707056.51531257);442684.0046;5707056.515
4451B6085;Bluno, Spreetal, BFS, B 02;Grundwasserbeobachtungsrohr;446793.4369;5708154.304;113.26;50.3;62;48.3;64;48.3;112.3;NN;2001;;2001;;Sande (Drebkauer Schichten / Untermiozän);;DEBB_SE-4-1;Landkreis Bautzen;WS;J;ja;POINT (446794.269843235 5708154.24124691);446794.2698;5708154.241
44527351;Zerre;Grundwasserbeobachtungsrohr;458525;5708494;106.19;;;;;100.98;105.18;DHHN2016;1991;;;;;J;DESN_SP-3-1;Landkreis Bautzen;WS;N;nein;POINT (458524.999999995 5708494.00033565);458525;5708494
